245	1779
672	1639
673	1633
674	1638
680	1634
690	1635
692	1636
693	1637
695	1785
925	1756
926	1845
927	1758
928	1708
929	1683
930	1690
931	1760
932	1855
933	1687
934	1685
935	1641
936	1642
938	1875
939	1715
940	1711
941	1710
942	1640
943	1874
944	1714
945	1681
946	1680
947	1789
948	1784
949	1786
950	1705
951	1787
952	1793
953	1788
954	1790
955	1697
956	1698
958	1723
959	1704
960	1703
961	1701
962	1777
964	1736
965	1769
966	1749
967	1748
969	1751
971	1746
972	1762
974	1817
975	1839
977	1804
978	1649
979	1880
980	1859
981	1750
982	1764
983	1766
984	1854
985	1646
986	1647
987	1648
988	1792
989	1713
990	1740
991	1799
992	1661
993	1721
994	1676
995	1675
996	1725
997	1739
998	1729
999	1673
1000	1728
1001	1726
1002	1761
1003	1722
1004	1724
1005	1727
1006	1782
1007	1691
1008	1670
1009	1669
1010	1668
1011	1745
1012	1743
1013	1735
1014	1744
1015	1664
1016	1663
1017	1755
1018	1742
1019	1753
1020	1677
1021	1800
1022	1754
1023	1674
1024	1662
1025	1665
1026	1666
1027	1741
1028	1889
1030	1851
1031	1730
1032	1841
1033	1734
1034	1709
1035	1667
1036	1882
1037	1671
1038	1672
1039	1718
1040	1717
1041	1716
1042	1660
1043	1659
1044	1876
1045	1645
1046	1733
1047	1653
1048	1849
1049	1844
1050	1833
1051	1772
1052	1852
1053	1768
1054	1732
1055	1747
1056	1848
1057	1707
1058	1706
1059	1843
1060	1842
1061	1893
1062	1853
1063	1840
1064	1892
1065	1860
1066	1643
1067	1812
1068	1879
1069	1831
1070	1824
1071	1809
1072	1830
1073	1775
1074	1820
1076	1813
1077	1881
1078	1884
1079	1816
1080	1737
1081	1823
1082	1810
1083	1763
1084	1858
1085	1765
1086	1819
1087	1658
1088	1657
1089	1656
1090	1655
1091	1654
1092	1644
1093	1834
1094	1652
1095	1651
1096	1678
1097	1702
1098	1801
1099	1802
1100	1712
1102	1700
1103	1883
1104	1699
1105	1696
1106	1695
1107	1694
1108	1682
1109	1684
1110	1688
1111	1894
1112	1869
1113	1868
1114	1757
1115	1835
1117	1818
1118	1826
1119	1803
1120	1832
1121	1693
1122	1679
1123	1759
1124	1878
1125	1738
1126	1877
1127	1650
1128	1847
1129	1686
1130	1829
1132	1692
1133	1689
1336	1770
1616	1890
1897	1902
1904	1719
1917	1720
2924	1903
2925	1904
2926	1898
2931	1905
2944	1906
2945	1899
2954	1907
2957	1901
2958	1900
2992	1897
2993	1896
2994	1895
2995	1923
3014	1922
3015	1921
3016	1920
3017	1919
3018	1918
3019	1917
3020	1916
3021	1925
3022	1943
3023	1944
3024	1945
3025	1946
3026	1947
3028	1949
3030	1950
3041	1954
3042	1948
3052	1955
3078	1952
3079	1942
3347	1941
3355	1940
3397	1771
3422	1927
3423	1731
3497	1928
3885	1929
3886	1951
3953	1924
3967	1752
4064	1931
4645	1932
4689	1930
4713	1933
4753	1934
4766	1935
4789	1926
4790	1937
4791	1939
4795	1938
4877	1936
4970	1828
5076	1767
5077	1798
5078	1797
5092	1780
5093	1773
5094	1774
5095	1838
5175	1865
5178	1886
5179	1887
5185	1866
5202	1776
5212	1953
5215	1778
5231	1861
5232	1862
5238	1864
5298	1781
5299	1795
5302	1836
5303	1962
5304	1791
5305	1885
5306	1873
5307	1872
5320	1783
5321	1794
5322	1796
5324	1914
5543	1913
5894	1912
5954	1911
5955	1910
5956	1909
5957	1908
5958	1915
6067	1805
6068	1806
6070	1807
6072	1808
6223	1822
6227	1811
6352	1814
6355	1815
6373	1863
6374	1821
6375	1857
6381	1958
6384	1957
6388	1959
6389	1960
6390	1961
6391	1825
6422	1856
6437	1827
6445	1846
6517	1837
6589	1850
7430	1967
7652	1867
7654	1870
7665	1871
7726	1956
7727	1888
7733	1891
7762	1966
7765	1963
7767	1964
7769	1965
